"YEAR","JURISDICTION","LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES","DETECTION_GROUP"
2024,"NSW","Major Cities of Australia","40-64","speed_fines","Police issued",1888,0,10,"Police"
2024,"NSW","Major Cities of Australia","65 and over","speed_fines","Police issued",285,0,0,"Police"
2024,"NSW","Outer Regional Australia","0-16","speed_fines","Police issued",2,0,0,"Police"
2024,"NSW","Outer Regional Australia","17-25","speed_fines","Police issued",347,0,1,"Police"
2024,"NSW","Outer Regional Australia","26-39","speed_fines","Police issued",639,0,1,"Police"
2024,"NSW","Unknown","Unknown","speed_fines","Fixed camera",28498,0,0,"Camera"
2024,"NSW","Unknown","Unknown","speed_fines","Mobile camera",2870,0,0,"Camera"
2024,"NSW","Unknown","Unknown","speed_fines","Red light camera",17764,0,0,"Camera"
2024,"NSW","Unknown","Unknown","speed_fines","Unknown",1,0,0,"Unknown"
2024,"NT","Unknown","0-16","speed_fines","Mobile camera",3,0,0,"Camera"
2024,"NT","Unknown","0-16","speed_fines","Other",0,1,1,"Unknown"
2024,"NT","Unknown","0-16","speed_fines","Police issued",2,0,0,"Police"
2024,"NT","Unknown","17-25","speed_fines","Fixed camera",84,0,0,"Camera"
2024,"NT","Unknown","17-25","speed_fines","Mobile camera",460,0,0,"Camera"
2024,"NT","Unknown","17-25","speed_fines","Other",0,0,4,"Unknown"
2024,"NT","Unknown","17-25","speed_fines","Police issued",34,0,0,"Police"
2024,"NT","Unknown","26-39","speed_fines","Fixed camera",380,0,0,"Camera"
2024,"NT","Unknown","26-39","speed_fines","Mobile camera",1254,0,0,"Camera"
2024,"NT","Unknown","26-39","speed_fines","Other",0,1,3,"Unknown"
2024,"NT","Unknown","26-39","speed_fines","Police issued",46,0,0,"Police"
2024,"NT","Unknown","40-64","speed_fines","Fixed camera",511,0,0,"Camera"
2024,"NT","Unknown","40-64","speed_fines","Mobile camera",1575,0,0,"Camera"
2024,"NT","Unknown","40-64","speed_fines","Other",0,0,1,"Unknown"
2024,"NT","Unknown","40-64","speed_fines","Police issued",45,0,0,"Police"
2024,"NT","Unknown","65 and over","speed_fines","Fixed camera",83,0,0,"Camera"
2024,"NT","Unknown","65 and over","speed_fines","Mobile camera",381,0,0,"Camera"
2024,"NT","Unknown","65 and over","speed_fines","Other",0,0,1,"Unknown"
2024,"NT","Unknown","65 and over","speed_fines","Police issued",5,0,0,"Police"
2024,"NT","Unknown","Unknown","speed_fines","Fixed camera",25,0,0,"Camera"
2024,"NT","Unknown","Unknown","speed_fines","Mobile camera",112,0,0,"Camera"
2024,"QLD","Unknown","0-16","speed_fines","Fixed camera",602,0,0,"Camera"
2024,"QLD","Unknown","0-16","speed_fines","Mobile camera",748,0,0,"Camera"
2024,"QLD","Unknown","0-16","speed_fines","Police issued",4,0,0,"Police"
